
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000002                       # Number of seconds simulated (Second)
simTicks                                      1572500                       # Number of ticks simulated (Tick)
finalTick                                     1572500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.55                       # Real time elapsed on the host (Second)
hostTickRate                                  2873377                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     672608                       # Number of bytes of host memory used (Byte)
simInsts                                          865                       # Number of instructions simulated (Count)
simOps                                            940                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     1580                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       1717                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                             3146                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                             934                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                            961                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined                   17                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples                1222                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.786416                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.898587                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                       988     80.85%     80.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                        70      5.73%     86.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                        11      0.90%     87.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                         6      0.49%     87.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                        16      1.31%     89.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         2      0.16%     89.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       126     10.31%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         3      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                  1222                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     126    100.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%    100.00% # attempts to use FU when none available (Count)
